"""1"";""ghostbuster_no2"";""16"";""1766"";""0,827180749248018"";""219,659"";""v3"";""69714128882"";""50"";"""";"""";"""""
"""2"";""lexy008_3"";""16"";""1448"";""0,740224227508887"";""261,869"";""v3"";""9221412766"";""50"";"""";"""";"""""
"""3"";""Akylios"";""16"";""1286"";""0,695925622094613"";""347,295"";""v3"";""65214128746"";""50"";"""";"""";"""""
"""4"";""Buddy"";""16"";""2029,02083333333"";""0,689082363714717"";""129,762"";""v2"";""59914127731"";""30"";"""";"""";"""""
"""5"";""K‰fer_1"";""16"";""1229"";""0,680339075745146"";""225,415"";""v3"";""18814126953"";""25"";"""";"""";"""""
"""6"";""tess"";""16"";""1216"";""0,676784249384742"";""152,377"";""v1"";""77714127834"";""20"";"""";"""";"""""
"""7"";""Moonstar"";""16"";""1926,09722222222"";""0,655816813905049"";""37,77"";""v2"";""84614126022"";""15"";"""";"""";"""""
"""8"";""barelybreath"";""16"";""1114"";""0,648892534864643"";""210,644"";""v1"";""74814126369"";""10"";"""";"""";"""""
"""8"";""barelybreath"";""16"";""1114"";""0,648892534864643"";""210,644"";""v1"";""48014126369"";"""";"""";"""";"""""
"""9"";""cloem"";""16"";""1065,5"";""0,635630298058518"";""412,877"";""v3"";""1401412699"";""5"";"""";"""";"""""
"""10"";""Benno_3"";""16"";""1010,5"";""0,62059064807219"";""342,089"";""v1"";""78714126198"";""5"";"""";"""";"""""
"""11"";""JanDal"";""16"";""1008"";""0,619907027618266"";""506,272"";""v3"";""99214126769"";"""";"""";"""";"""""
"""12"";""wachowboy"";""16"";""991,5"";""0,615395132622368"";""130,517"";""v1"";""56614127024"";"""";"""";"""";"""""
"""13"";""Usus"";""16"";""991"";""0,615258408531583"";""255,879"";""v3"";""81412625624"";"""";"""";"""";"""""
"""14"";""MOfiHM"";""16"";""963"";""0,607601859447635"";""141,9"";""v3"";""34914126635"";"""";"""";"""";"""""
"""15"";""Haribo"";""16"";""963"";""0,607601859447635"";""324,9"";""v3"";""40914125959"";"""";"""";"""";"""""
"""16"";""P¸Åppilotta"";""16"";""962,5"";""0,60746513535685"";""431,755"";""v3"";""62514126834"";"""";"""";"""";"""""
"""18"";""M¸Åller"";""16"";""936"";""0,600218758545256"";""215,323"";""v1"";""64314126235"";"""";"""";"""";"""""
"""19"";""10100011101"";""16"";""896,5"";""0,589417555373257"";""224,761"";""v1"";""81114126294"";"""";"""";"""";"""""
"""20"";""Derby"";""16"";""874,5"";""0,583401695378726"";""323,05"";""v3"";""67314126264"";"""";"""";"""";"""""
"""21"";""Apollo"";""16"";""1699,29618055556"";""0,582513309811104"";""71,172"";""v2"";""97914126315"";"""";"""";"""";"""""
"""22"";""Hannoveraner"";""16"";""857,5"";""0,578753076292043"";""204,653"";""v3"";""81914126268"";"""";"""";"""";"""""
"""24"";""Rini"";""16"";""834"";""0,572327044025157"";""167,262"";""v1"";""36214126955"";"""";"""";"""";"""""
"""25"";""Benno_4"";""16"";""1664,61631944444"";""0,571304563492063"";""44,166"";""v2"";""56214126217"";"""";"""";"""";"""""
"""26"";""JK1991"";""16"";""810"";""0,565764287667487"";""170,491"";""v1"";""42414126417"";"""";"""";"""";"""""
"""27"";""Apfelsine"";""16"";""1636,97395833333"";""0,562370380844646"";""112,566"";""v2"";""12214126376"";"""";"""";"""";"""""
"""28"";""Pauline"";""16"";""1605,79340277778"";""0,552292631796308"";""132,975"";""v2"";""47814126206"";"""";"""";"""";"""""
"""29"";""Bingo123"";""16"";""750"";""0,549357396773311"";""364,581"";""v3"";""67814127592"";"""";"""";"""";"""""
"""30"";""Zylixae"";""16"";""749,5"";""0,549220672682527"";""516,671"";""v3"";""38514126717"";"""";"""";"""";"""""
"""31"";""Hatschipuh"";""16"";""733,5"";""0,544845501777413"";""105,976"";""v3"";""66714131173"";"""";"""";"""";"""""
"""32"";""David"";""16"";""721"";""0,541427399507793"";""283,352"";""v3"";""33114126865"";"""";"""";"""";"""""
"""33"";""Hannaney"";""16"";""1559,47916666667"";""0,537323583279466"";""73,873"";""v2"";""35914126194"";"""";"""";"""";"""""
"""35"";""Lulu"";""16"";""1530,25520833333"";""0,52787821859513"";""115,537"";""v2"";""91614126743"";"""";"""";"""";"""""
"""35"";""Lulu"";""16"";""1530,25520833333"";""0,52787821859513"";""115,537"";""v2"";""65214126742"";"""";"""";"""";"""""
"""36"";""NoName"";""16"";""656,5"";""0,523789991796555"";""163,013"";""v3"";""84414126216"";"""";"""";"""";"""""
"""40"";""hansdieter"";""16"";""599"";""0,508066721356303"";""153,891"";""v1"";""46214126759"";"""";"""";"""";"""""
"""41"";""Lena"";""16"";""1456,83333333333"";""0,504147812971342"";""72,598"";""v2"";""25314126846"";"""";"""";"""";"""""
"""42"";""Josefine"";""16"";""577"";""0,502050861361772"";""259,705"";""v1"";""82314126241"";"""";"""";"""";"""""
"""45"";""Anastasia"";""16"";""534"";""0,490292589554279"";""173,84"";""v1"";""37814126325"";"""";"""";"""";"""""
