"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b3\",\"in\",\"4373\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"b3\",\"\",\"4598\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b3\",\"out\",\"4770\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b2\",\"in\",\"4771\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b2\",\"out\",\"5280\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b1\",\"in\",\"5316\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"b1\",\"\",\"5566\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b1\",\"out\",\"5788\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b2\",\"in\",\"5800\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"b2\",\"\",\"6312\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b2\",\"out\",\"6399\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b1\",\"in\",\"6411\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b1\",\"out\",\"6511\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"b0\",\"in\",\"6536\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"b0\",\"\",\"7045\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"b0\",\"out\",\"7177\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"c0\",\"in\",\"7178\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"c0\",\"\",\"7730\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"c0\",\"out\",\"7816\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"c1\",\"in\",\"7829\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"c1\",\"\",\"8314\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"c1\",\"out\",\"8462\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"c2\",\"in\",\"8463\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"c2\",\"\",\"8922\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"c2\",\"out\",\"9071\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"c3\",\"in\",\"9072\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""click\",\"c3\",\"\",\"9556\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseout\",\"c3\",\"out\",\"9692\"
"3","1_5x5_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:37:02",""mouseover\",\"c4\",\"in\",\"9693\"
