"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""onload\",\"body\",\"body\",\"26\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""subject\",\"random\",\"0\",\"32\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""order\",\"col\",\"0_1_2\",\"32\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""order\",\"row\",\"0_1_2\",\"32\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""events\",\"open_close\",\"1_1\",\"32\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"btn3\",\"Strategie 3\",\"1168\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"btn3\",\"Strategie 3\",\"1178\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"c2\",\"in\",\"1191\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"c2\",\"\",\"1702\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"c2\",\"out\",\"1937\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"b2\",\"in\",\"1950\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"b2\",\"\",\"2434\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"b2\",\"out\",\"2596\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"a2\",\"in\",\"2608\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"a2\",\"\",\"2858\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"a2\",\"out\",\"2975\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"a1\",\"in\",\"2976\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"a1\",\"\",\"3232\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"a1\",\"out\",\"3342\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"b1\",\"in\",\"3354\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"b1\",\"\",\"3604\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"b1\",\"out\",\"3801\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"c1\",\"in\",\"3852\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"c1\",\"\",\"3989\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"c1\",\"out\",\"4530\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"c0\",\"in\",\"4531\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"c0\",\"\",\"4723\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"c0\",\"out\",\"4822\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"b0\",\"in\",\"4823\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"b0\",\"\",\"5070\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"b0\",\"out\",\"5181\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"a0\",\"in\",\"5181\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""click\",\"a0\",\"\",\"5394\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"a0\",\"out\",\"5467\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"a1\",\"in\",\"5467\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"a1\",\"out\",\"5493\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"b2\",\"in\",\"5506\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"b2\",\"out\",\"5741\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"btn1\",\"Strategie 1\",\"5778\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"btn1\",\"Strategie 1\",\"5842\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseover\",\"btn1\",\"Strategie 1\",\"6176\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""onclick\",\"btn1\",\"Strategie 1\",\"6439\"
"1","1_3x3_2.php","2R_1; _pk_ses.1.71f7=*","10.158.8.9","-1","","2014-01-25 14:36:01",""mouseout\",\"btn1\",\"Strategie 1\",\"6511\"
