sse,rsquare,dfe,adjrsquare,rmse
486.238341702317,0.0416122300583206,397,0.0391981550710619,1.10669856651859
2773.61335546084,0.00130898653319467,397,-0.00120660795916505,2.64318588560206
232.636114621914,0.0267997761086359,397,0.0243483901542496,0.765496685407625
220.065690158519,0.0256675201073998,397,0.0232132821227837,0.744527795101626
214.491077580259,0.0261130240467364,397,0.0236599082382899,0.735037272792068
89.4548915882615,0.00530472425376904,397,0.00279919459193978,0.47468640473682
166.496050947047,0.0166492805579829,397,0.0141723266047284,0.647599813741716
132.130791353355,0.0132181192160669,397,0.0107325225390292,0.576908270025282
129.638364695778,0.0187831171442731,397,0.0163115380942586,0.57144115990511
287.409205030793,0.00840159823667097,397,0.00590386926497488,0.850854075331543
