sse,rsquare,dfe,adjrsquare,rmse
1.57743888677038,0.51813249366417,41,0.506379627655979,0.196148207204454
0.0236870592948537,0.000439008402653651,2,-0.49934148739602,0.108827981913784
1.50765088185651,0.0483054513500101,34,0.0203144352132457,0.210577000158564
1.42372593701443,0.303906898326179,46,0.28877443959414,0.175927723364283
1.107120054361,0.50934305131828,35,0.495324281355945,0.177853876969751
1.72626921193922,0.0346163706335237,37,0.00852492119118653,0.215999825571703
5.32488524092906,0.195830962836785,328,0.193379227967385,0.127414309331192
7.51807467175317,0.0509264619975313,399,0.0485478315764724,0.137267229921817
6.92754706210531,0.0255571003828031,405,0.0231510685318965,0.130786293143946
32.8312452366247,0.347964259519662,405,0.346354294728353,0.284718814013746
